,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams,AllStars,MVPs
962,Monti Davis,1981,1981,F,6-7,205.0,"July 26, 1958",Tennessee State University,/players/d/davismo01.html,0,2.0,0.0,5.0,0.5,2.5,0.2,0.0,0.0,0.0,0.5,2.5,0.2,0.2,0.5,2.5,0.2,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,1.5,2,0.0,0.0
963,Paul Davis,2007,2010,C,6-11,270.0,"July 21, 1984",Michigan State University,/players/d/davispa01.html,3,82.0,2.0,8.6,1.1,2.7,0.402,0.0,0.0,0.0,1.1,2.7,0.404,0.402,0.5,0.7,0.732,0.9,1.0,1.9,0.4,0.3,0.2,0.4,1.3,2.6,2,0.0,0.0
964,Ralph Davis,1961,1962,G,6-4,180.0,"September 7, 1938",University of Cincinnati,/players/d/davisra01.html,1,150.0,0.0,21.3,3.6,8.9,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.677,0.0,0.0,1.7,2.8,0.0,0.0,0.0,2.1,8.0,2,0.0,0.0
965,Red Davis,1956,1956,C,6-7,220.0,"April 22, 1932",St. John's University,/players/d/davisre01.html,0,3.0,0.0,5.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.0,1.3,0.3,0.0,0.0,0.0,0.7,0.7,1,0.0,0.0
966,Ricky Davis,1999,2010,G,6-6,195.0,"September 23, 1979",University of Iowa,/players/d/davisri01.html,11,736.0,344.0,29.8,5.1,11.4,0.446,0.8,2.2,0.361,4.3,9.2,0.466,0.48,2.5,3.2,0.781,0.8,2.7,3.5,3.3,1.0,0.3,2.2,1.9,13.5,6,0.0,0.0
967,Ron Davis,1977,1982,G-F,6-6,198.0,"May 1, 1954",Washington State University,/players/d/davisro01.html,5,78.0,0.0,12.2,2.0,4.8,0.42,0.0,0.1,0.25,2.0,4.7,0.423,0.422,1.3,2.3,0.571,0.7,1.1,1.8,0.7,0.6,0.1,0.9,1.5,5.3,2,0.0,0.0
968,Terry Davis,1990,2001,F-C,6-9,225.0,"June 17, 1967",Virginia Union University,/players/d/daviste01.html,11,480.0,275.0,21.6,2.5,5.3,0.472,0.0,0.0,0.158,2.5,5.3,0.475,0.473,1.4,2.3,0.605,2.3,3.7,6.0,0.6,0.4,0.3,1.1,2.5,6.4,4,0.0,0.0
969,Walt Davis,1954,1958,C-F,6-8,205.0,"January 5, 1931",Texas A&M University,/players/d/daviswa01.html,4,325.0,0.0,16.4,1.9,5.1,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.695,0.0,0.0,4.3,0.7,0.0,0.0,0.0,2.8,4.8,2,0.0,0.0
970,Walter Davis,1978,1992,G-F,6-6,193.0,"September 9, 1954",University of North Carolina,/players/d/daviswa03.html,14,1033.0,373.0,27.9,7.9,15.4,0.511,0.2,0.7,0.272,7.7,14.8,0.521,0.516,3.0,3.6,0.851,0.9,2.1,3.0,3.8,1.2,0.1,2.5,2.4,18.9,3,6.0,0.0
971,Warren Davis,1968,1973,F-C,6-6,212.0,"June 30, 1943",North Carolina Agricultural and Technical State University,/players/d/daviswa02.html,5,447.0,0.0,29.3,4.5,9.4,0.48,0.0,0.0,0.125,4.5,9.4,0.481,0.48,3.1,4.5,0.691,3.1,6.1,9.2,2.1,0.0,0.0,2.4,3.4,12.2,7,1.0,0.0
972,Willie Davis,1971,1971,C,6-8,234.0,"August 9, 1945",University of North Texas,/players/d/daviswi01.html,0,8.0,0.0,3.6,0.9,1.9,0.467,0.0,0.0,0.0,0.9,1.9,0.467,0.467,0.5,1.0,0.5,0.9,0.8,1.6,0.3,0.0,0.0,0.4,1.3,2.3,1,0.0,0.0
973,Andre Dawkins,2015,2015,G,6-5,215.0,"September 19, 1991",Duke University,/players/d/dawkian01.html,0,4.0,0.0,5.5,0.3,1.5,0.167,0.3,1.5,0.167,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.8,0.8,1,0.0,0.0
974,Darryl Dawkins,1976,1989,C,6-11,251.0,"January 11, 1957",0,/players/d/dawkida01.html,13,726.0,232.0,23.7,4.8,8.4,0.572,0.0,0.0,0.133,4.8,8.4,0.573,0.572,2.4,3.6,0.685,1.5,4.6,6.1,1.3,0.5,1.4,2.6,3.8,12.0,4,0.0,0.0
975,Johnny Dawkins,1987,1995,G,6-2,165.0,"September 28, 1963",Duke University,/players/d/dawkijo01.html,8,541.0,303.0,27.5,4.4,9.6,0.456,0.3,1.0,0.33,4.0,8.6,0.471,0.474,2.0,2.3,0.857,0.6,1.9,2.5,5.5,1.1,0.1,2.0,1.5,11.1,3,0.0,0.0
976,Paul Dawkins,1980,1980,F,6-5,190.0,"June 10, 1957",Northern Illinois University,/players/d/dawkipa01.html,0,57.0,0.0,13.6,2.5,5.3,0.47,0.0,0.1,0.2,2.5,5.2,0.475,0.472,0.6,0.8,0.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2.0,5.5,1,0.0,0.0
977,Branden Dawson,2016,2016,F,6-6,225.0,"February 1, 1993",Michigan State University,/players/d/dawsobr01.html,0,6.0,0.0,4.8,0.3,0.8,0.4,0.0,0.0,0.0,0.3,0.8,0.4,0.4,0.2,0.2,1.0,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8,1,0.0,0.0
978,Eric Dawson,2012,2012,F,6-9,250.0,"July 7, 1984",Midwestern State University,/players/d/dawsoer01.html,0,4.0,0.0,9.8,1.8,3.0,0.583,0.0,0.0,0.0,1.8,3.0,0.583,0.583,0.3,0.5,0.5,1.3,1.3,2.5,0.0,0.3,0.5,0.8,1.5,3.8,1,0.0,0.0
979,Jimmy Dawson,1968,1968,G,6-0,175.0,"April 18, 1945",University of Illinois at Urbana-Champaign,/players/d/dawsoji01.html,0,21.0,0.0,13.7,2.2,6.3,0.346,0.0,0.3,0.143,2.1,6.0,0.357,0.35,1.2,2.0,0.581,0.0,0.0,1.0,1.5,0.0,0.0,0.8,0.8,5.6,1,0.0,0.0
980,Tony Dawson,1991,1995,F,6-7,215.0,"August 25, 1967",Florida State University,/players/d/dawsoto01.html,4,6.0,0.0,5.0,1.2,2.5,0.467,0.3,0.7,0.5,0.8,1.8,0.455,0.533,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.0,0.0,0.5,0.7,2.8,2,0.0,0.0
981,Todd Day,1993,2001,G-F,6-6,188.0,"January 7, 1970",University of Arkansas,/players/d/dayto01.html,8,483.0,197.0,25.3,4.2,10.4,0.406,1.2,3.4,0.345,3.0,7.0,0.435,0.462,2.6,3.6,0.739,1.2,2.2,3.4,1.5,1.1,0.6,1.5,2.8,12.3,5,0.0,0.0
982,Austin Daye,2010,2015,F,6-11,220.0,"June 5, 1988",Gonzaga University,/players/d/dayeau01.html,5,293.0,29.0,14.1,1.9,4.8,0.402,0.6,1.8,0.351,1.3,3.0,0.433,0.469,0.7,0.9,0.778,0.5,2.1,2.6,0.7,0.4,0.4,0.7,1.6,5.2,5,0.0,0.0
983,Darren Daye,1984,1988,F-G,6-8,220.0,"November 30, 1960","University of California, Los Angeles",/players/d/dayeda01.html,4,328.0,22.0,15.9,2.6,5.3,0.491,0.0,0.1,0.118,2.6,5.2,0.494,0.491,1.6,2.4,0.681,1.0,1.6,2.6,2.0,0.6,0.2,1.3,1.9,6.8,3,0.0,0.0
984,Nando De Colo,2013,2014,G,6-5,200.0,"June 23, 1987",0,/players/d/decolna01.html,1,119.0,9.0,11.9,1.4,3.3,0.429,0.4,1.1,0.363,1.0,2.2,0.463,0.491,0.6,0.7,0.835,0.3,1.5,1.8,1.7,0.5,0.1,1.0,1.1,3.8,2,0.0,0.0
985,Greg Deane,1980,1980,G,6-4,190.0,"December 6, 1957",University of Utah,/players/d/deanegr01.html,0,7.0,0.0,6.9,0.3,1.6,0.182,0.1,0.1,1.0,0.1,1.4,0.1,0.227,0.7,1.0,0.714,0.3,0.6,0.9,0.9,0.0,0.0,0.4,0.4,1.4,1,0.0,0.0
986,Billy DeAngelis,1971,1971,G,6-1,180.0,"October 5, 1946",Saint Joseph's University,/players/d/deangbi01.html,0,8.0,0.0,5.9,0.4,0.8,0.5,0.0,0.0,0.0,0.4,0.8,0.5,0.5,0.5,0.8,0.667,0.3,0.5,0.8,1.0,0.0,0.0,0.6,2.0,1.3,1,0.0,0.0
987,Andrew DeClercq,1996,2005,F-C,6-10,230.0,"February 1, 1973",University of Florida,/players/d/declean01.html,9,587.0,253.0,16.8,1.9,3.8,0.507,0.0,0.0,0.0,1.9,3.8,0.507,0.507,1.0,1.6,0.621,1.7,2.5,4.2,0.6,0.7,0.5,0.9,3.0,4.8,4,0.0,0.0
988,Dewayne Dedmon,2014,2018,C,7-0,245.0,"August 12, 1989",University of Southern California,/players/d/dedmode01.html,4,286.0,124.0,16.8,2.2,4.0,0.552,0.2,0.5,0.352,2.1,3.6,0.58,0.573,0.9,1.2,0.695,1.6,4.1,5.7,0.6,0.4,0.8,0.9,2.3,5.5,5,0.0,0.0
989,Don Dee,1969,1969,F,6-8,210.0,"August 9, 1943",Saint Mary of the Plains College,/players/d/deedo01.html,0,58.0,0.0,17.1,2.4,6.7,0.357,0.0,0.0,0.0,2.4,6.7,0.358,0.357,1.0,1.3,0.747,1.8,3.2,5.0,0.6,0.0,0.0,1.2,3.1,5.7,1,0.0,0.0
990,Archie Dees,1959,1962,F-C,6-8,205.0,"February 22, 1936",Indiana University,/players/d/deesar01.html,3,190.0,0.0,16.3,3.0,7.5,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.6,0.794,0.0,0.0,4.8,0.7,0.0,0.0,0.0,2.0,8.1,4,0.0,0.0
991,Terry Dehere,1994,1999,G,6-2,190.0,"September 12, 1971",Seton Hall University,/players/d/deherte01.html,5,402.0,65.0,18.2,2.7,6.5,0.411,0.8,2.2,0.378,1.9,4.4,0.427,0.473,1.8,2.4,0.779,0.4,1.1,1.5,2.6,0.5,0.1,1.5,2.1,8.0,3,0.0,0.0
992,Red Dehnert,1947,1947,F,6-3,175.0,"January 24, 1924",Columbia University,/players/d/dehnere01.html,0,10.0,0.0,0.0,0.6,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1,0.0,0.0
993,Bryce Dejean-Jones,2016,2016,G,6-6,209.0,"August 21, 1992","University of Southern California, University of Nevada, Las Vegas, Iowa State University",/players/d/dejeabr01.html,0,14.0,11.0,19.9,2.0,4.9,0.406,0.9,2.3,0.375,1.1,2.6,0.432,0.493,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6,1,0.0,0.0
994,Sam Dekker,2016,2018,F,6-9,230.0,"May 6, 1994",University of Wisconsin,/players/d/dekkesa01.html,2,153.0,3.0,15.1,2.2,4.5,0.481,0.5,1.6,0.283,1.7,2.9,0.592,0.532,0.5,0.8,0.605,0.9,2.1,3.0,0.7,0.4,0.2,0.5,1.0,5.3,2,0.0,0.0
995,Vinny Del Negro,1989,2002,G,6-4,185.0,"August 9, 1966",North Carolina State University,/players/d/delnevi01.html,13,771.0,370.0,24.9,3.7,7.8,0.475,0.3,0.9,0.359,3.4,6.9,0.489,0.495,1.4,1.7,0.84,0.4,2.0,2.3,3.2,0.7,0.1,1.1,1.9,9.1,5,0.0,0.0
996,Malcolm Delaney,2017,2018,G,6-3,190.0,"March 11, 1989",Virginia Polytechnic Institute and State University,/players/d/delanma01.html,1,127.0,5.0,17.8,2.0,5.3,0.377,0.6,1.8,0.308,1.4,3.5,0.415,0.431,1.2,1.5,0.805,0.1,1.6,1.8,2.8,0.6,0.1,1.3,1.5,5.7,1,0.0,0.0
997,Bison Dele,1992,1999,F-C,6-9,235.0,"April 6, 1969","University of Maryland, University of Arizona",/players/d/delebi01.html,7,413.0,204.0,24.2,4.5,8.5,0.528,0.0,0.0,0.143,4.5,8.4,0.529,0.528,2.0,2.9,0.691,2.1,4.1,6.2,1.1,0.8,0.9,2.0,3.1,11.0,5,0.0,0.0
998,Carlos Delfino,2005,2013,G,6-6,230.0,"August 29, 1982",0,/players/d/delfica01.html,8,507.0,170.0,22.8,2.9,7.2,0.401,1.3,3.7,0.365,1.6,3.6,0.438,0.494,1.0,1.3,0.758,0.6,3.0,3.6,1.7,0.9,0.2,1.0,1.6,8.1,4,0.0,0.0
999,Tony Delk,1997,2006,G,6-1,189.0,"January 28, 1974",University of Kentucky,/players/d/delkto01.html,9,545.0,103.0,21.5,3.4,8.4,0.408,0.9,2.5,0.343,2.6,5.9,0.436,0.459,1.4,1.8,0.769,0.6,1.8,2.5,1.9,0.8,0.1,1.1,1.6,9.1,8,0.0,0.0
1000,Matthew Dellavedova,2014,2018,G,6-4,198.0,"September 8, 1990",Saint Mary's College of California,/players/d/dellama01.html,4,329.0,88.0,21.9,2.1,5.5,0.391,1.0,2.6,0.388,1.1,2.9,0.393,0.483,0.7,0.8,0.84,0.4,1.5,1.9,3.7,0.5,0.0,1.3,2.0,6.0,2,0.0,0.0
1001,Nate DeLong,1952,1952,C,6-6,220.0,"January 5, 1926",University of Wisconsin-River Falls,/players/d/delonna01.html,0,17.0,0.0,7.8,1.2,2.5,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.1,0.686,0.0,0.0,1.8,0.8,0.0,0.0,0.0,2.8,3.8,1,0.0,0.0
1002,Fennis Dembo,1989,1989,F,6-5,215.0,"January 24, 1966",University of Wyoming,/players/d/dembofe01.html,0,31.0,0.0,2.4,0.5,1.4,0.333,0.0,0.1,0.0,0.5,1.2,0.368,0.333,0.3,0.3,0.8,0.3,0.5,0.7,0.2,0.0,0.0,0.2,0.5,1.2,1,0.0,0.0
1003,Larry Demic,1980,1982,F-C,6-9,225.0,"June 27, 1957",University of Arizona,/players/d/demicla01.html,2,206.0,0.0,15.5,1.9,4.2,0.459,0.0,0.0,0.0,1.9,4.2,0.461,0.459,0.9,1.5,0.58,1.6,2.3,3.9,0.5,0.3,0.2,1.2,2.5,4.7,1,0.0,0.0
1004,Dell Demps,1994,1997,G,6-3,205.0,"February 12, 1970",University of the Pacific,/players/d/dempsde01.html,3,20.0,0.0,5.4,1.1,2.1,0.5,0.1,0.2,0.333,1.0,2.0,0.513,0.512,0.8,1.1,0.762,0.1,0.4,0.5,0.5,0.3,0.1,0.7,0.6,3.0,3,0.0,0.0
1005,George Dempsey,1955,1959,G,6-2,190.0,"July 19, 1929",King's College,/players/d/dempsge01.html,4,315.0,0.0,18.2,1.9,4.6,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.9,0.661,0.0,0.0,3.6,2.3,0.0,0.0,0.0,1.9,5.0,2,0.0,0.0
1006,Luol Deng,2005,2018,F,6-9,220.0,"April 16, 1985",Duke University,/players/d/denglu01.html,13,880.0,826.0,34.7,5.8,12.7,0.455,0.7,2.2,0.332,5.0,10.5,0.481,0.484,2.7,3.6,0.77,1.6,4.5,6.1,2.3,1.0,0.5,1.6,1.7,15.0,4,2.0,0.0
1007,Kenny Dennard,1982,1984,F,6-8,220.0,"October 18, 1958",Duke University,/players/d/dennake01.html,2,95.0,3.0,13.1,1.1,2.7,0.429,0.0,0.1,0.3,1.1,2.6,0.434,0.435,0.5,0.8,0.644,1.1,1.9,3.0,1.0,0.8,0.2,0.7,2.0,2.8,2,0.0,0.0
1008,Blaine Denning,1953,1953,G,6-2,175.0,"September 19, 1930",Lawrence Technological University,/players/d/dennibl01.html,0,1.0,0.0,9.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0,0.0,0.0
1009,Justin Dentmon,2012,2013,G,5-11,185.0,"September 5, 1985",University of Washington,/players/d/dentmju01.html,1,8.0,0.0,11.9,1.3,3.8,0.333,0.3,1.8,0.143,1.0,2.0,0.5,0.367,0.5,0.8,0.667,0.0,1.0,1.0,1.3,0.3,0.0,0.9,1.3,3.3,3,0.0,0.0
1010,Randy Denton,1972,1977,C,6-10,240.0,"February 18, 1949",Duke University,/players/d/dentora01.html,5,413.0,0.0,24.7,4.9,10.4,0.473,0.0,0.0,0.214,4.9,10.4,0.474,0.473,1.6,2.1,0.779,2.9,5.7,8.6,1.3,0.5,0.5,1.6,2.6,11.5,6,0.0,0.0
1011,Joe DePre,1971,1973,G,6-3,185.0,"December 19, 1947",St. John's University,/players/d/deprejo01.html,2,119.0,0.0,19.2,2.8,5.8,0.477,0.0,0.1,0.2,2.8,5.7,0.481,0.478,1.4,1.9,0.735,0.6,1.3,1.9,1.6,0.0,0.0,1.7,2.9,7.0,1,0.0,0.0
1012,Rod Derline,1975,1976,G,6-0,175.0,"March 11, 1952",Seattle University,/players/d/derliro01.html,1,107.0,0.0,9.4,2.0,4.8,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.786,0.2,0.6,0.8,0.7,0.3,0.0,0.0,0.6,4.8,1,0.0,0.0
1013,DeMar DeRozan,2010,2018,G-F,6-7,221.0,"August 7, 1989",University of Southern California,/players/d/derozde01.html,8,675.0,663.0,34.1,7.0,15.6,0.448,0.5,1.7,0.289,6.5,13.9,0.467,0.463,5.2,6.3,0.827,0.8,3.3,4.1,3.1,1.0,0.3,2.0,2.2,19.7,1,4.0,0.0
1014,Dave Deutsch,1967,1967,G,6-1,170.0,"May 13, 1945",University of Rochester,/players/d/deutsda01.html,0,19.0,0.0,4.9,0.3,1.9,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.45,0.0,0.0,1.1,0.8,0.0,0.0,0.0,0.9,1.1,1,0.0,0.0
1015,Corky Devlin,1956,1958,G,6-5,195.0,"December 21, 1931",George Washington University,/players/d/devlico01.html,2,210.0,0.0,19.2,2.7,7.3,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.4,0.742,0.0,0.0,2.1,2.1,0.0,0.0,0.0,1.6,7.1,2,0.0,0.0
1016,Hank DeZonie,1951,1951,C-F,6-6,215.0,"February 12, 1922",Clark Atlanta University,/players/d/dezonha01.html,0,5.0,0.0,0.0,1.2,5.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.714,0.0,0.0,3.6,1.8,0.0,0.0,0.0,1.2,3.4,1,0.0,0.0
1017,Derrick Dial,2000,2004,G,6-4,184.0,"December 20, 1975",Eastern Michigan University,/players/d/dialde01.html,4,82.0,0.0,8.4,1.3,3.4,0.372,0.1,0.5,0.19,1.2,2.9,0.404,0.386,0.5,0.7,0.672,0.5,1.1,1.6,0.8,0.3,0.1,0.4,0.6,3.1,4,0.0,0.0
1018,Cheick Diallo,2017,2018,F,6-9,220.0,"September 13, 1996",University of Kansas,/players/d/diallch01.html,1,69.0,0.0,11.3,2.0,3.7,0.548,0.0,0.0,0.0,2.0,3.7,0.548,0.548,0.9,1.3,0.747,1.0,3.1,4.1,0.3,0.2,0.4,0.5,1.4,4.9,1,0.0,0.0
1019,Boris Diaw,2004,2017,F-C,6-8,250.0,"April 16, 1982",0,/players/d/diawbo01.html,13,1064.0,564.0,27.0,3.6,7.2,0.493,0.4,1.3,0.336,3.1,5.9,0.529,0.524,1.0,1.4,0.717,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.1,8.6,5,0.0,0.0
1020,Yakhouba Diawara,2007,2010,G-F,6-7,225.0,"August 29, 1982",Pepperdine University,/players/d/diawaya01.html,3,187.0,56.0,14.0,1.2,3.5,0.357,0.7,2.2,0.301,0.6,1.3,0.448,0.45,0.4,0.6,0.65,0.4,1.0,1.4,0.7,0.3,0.1,0.4,1.5,3.5,2,0.0,0.0
1021,Guillermo Diaz,2008,2008,G,6-2,192.0,"March 4, 1985",University of Miami,/players/d/diazgu01.html,0,6.0,0.0,3.0,0.2,0.7,0.25,0.0,0.2,0.0,0.2,0.5,0.333,0.25,0.5,0.8,0.6,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.8,1,0.0,0.0
1022,Dan Dickau,2003,2008,G,6-0,190.0,"September 16, 1978","University of Washington, Gonzaga University",/players/d/dickada01.html,5,300.0,57.0,15.4,2.0,5.1,0.401,0.6,1.8,0.341,1.4,3.3,0.432,0.46,1.2,1.4,0.831,0.3,1.1,1.4,2.5,0.5,0.0,1.1,1.7,5.8,6,0.0,0.0
1023,Kaniel Dickens,2004,2008,F,6-8,215.0,"July 21, 1978","Tyler Junior College, University of Idaho",/players/d/dickeka01.html,4,19.0,0.0,4.5,0.4,1.1,0.4,0.2,0.5,0.333,0.3,0.6,0.455,0.475,0.2,0.2,0.75,0.3,0.4,0.6,0.1,0.1,0.1,0.2,0.5,1.2,3,0.0,0.0
1024,Henry Dickerson,1976,1977,G,6-4,190.0,"November 27, 1951",University of Charleston,/players/d/dickehe01.html,1,23.0,0.0,7.6,0.7,1.8,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.625,0.1,0.1,0.2,0.8,0.1,0.0,0.0,1.3,2.0,2,0.0,0.0
1025,Michael Dickerson,1999,2003,G-F,6-5,190.0,"June 25, 1975",University of Arizona,/players/d/dickemi01.html,4,212.0,206.0,35.3,5.8,13.3,0.432,1.4,3.4,0.402,4.4,9.9,0.442,0.483,2.5,3.2,0.784,0.8,2.0,2.9,2.6,1.0,0.4,1.9,2.6,15.4,3,0.0,0.0
1026,Clyde Dickey,1975,1975,G,6-3,185.0,"December 14, 1951",Boise State University,/players/d/dickecl01.html,0,58.0,0.0,8.1,1.2,3.5,0.35,0.0,0.3,0.133,1.2,3.2,0.367,0.355,0.3,0.4,0.762,0.2,0.8,1.1,0.8,0.2,0.0,0.8,0.8,2.8,1,0.0,0.0
1027,Derrek Dickey,1974,1978,F,6-7,218.0,"March 20, 1951",University of Cincinnati,/players/d/dickede01.html,4,321.0,0.0,16.7,2.7,5.7,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.1,0.745,1.8,3.2,4.9,1.1,0.4,0.2,0.9,1.9,6.1,2,0.0,0.0
1028,Dick Dickey,1952,1952,G,6-1,175.0,"October 26, 1926",North Carolina State University,/players/d/dickedi01.html,0,45.0,0.0,9.8,0.9,3.0,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.681,0.0,0.0,1.8,1.1,0.0,0.0,0.0,1.8,2.8,1,0.0,0.0
1029,John Dickson,1968,1968,C,6-10,240.0,"November 18, 1945",Arkansas State University,/players/d/dicksjo01.html,0,21.0,0.0,4.8,0.7,1.9,0.359,0.0,0.0,0.0,0.7,1.9,0.359,0.359,0.4,0.6,0.615,0.0,0.0,1.6,0.1,0.0,0.0,0.5,0.5,1.7,1,0.0,0.0
1030,Travis Diener,2006,2010,G,6-1,175.0,"March 1, 1982",Marquette University,/players/d/dienetr01.html,4,179.0,21.0,14.9,1.7,4.3,0.388,0.9,2.6,0.353,0.7,1.7,0.442,0.495,0.5,0.6,0.847,0.2,1.1,1.4,2.4,0.4,0.1,0.6,1.1,4.8,3,0.0,0.0
1031,Gorgui Dieng,2014,2018,C,6-11,241.0,"January 18, 1990",University of Louisville,/players/d/dienggo01.html,4,376.0,185.0,24.5,3.2,6.3,0.506,0.1,0.3,0.328,3.1,5.9,0.517,0.515,1.8,2.3,0.785,2.1,4.6,6.7,1.5,0.9,1.1,1.3,2.4,8.3,1,0.0,0.0
1032,Connie Dierking,1959,1971,C-F,6-9,222.0,"October 2, 1936",University of Cincinnati,/players/d/dierkco01.html,12,706.0,0.0,21.9,4.1,9.7,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.8,0.697,0.0,0.0,6.7,1.5,0.0,0.0,0.0,2.9,10.0,4,0.0,0.0
1033,Coby Dietrick,1971,1983,C-F,6-10,220.0,"July 23, 1948",San Jose State University,/players/d/dietrco01.html,12,842.0,0.0,19.3,2.6,5.5,0.462,0.0,0.1,0.194,2.5,5.5,0.464,0.463,1.0,1.3,0.735,1.4,3.1,4.5,2.1,0.9,0.6,1.3,2.8,6.1,4,0.0,0.0
1034,Ernie DiGregorio,1974,1978,G,6-0,180.0,"January 15, 1951",Providence College,/players/d/digreer01.html,4,312.0,0.0,25.2,4.1,9.8,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,0.902,0.4,1.5,2.0,5.1,0.6,0.0,1.8,2.1,9.6,3,0.0,0.0
1035,Craig Dill,1968,1968,C,6-11,215.0,"December 17, 1944",University of Michigan,/players/d/dillcr01.html,0,65.0,0.0,20.8,2.9,7.5,0.383,0.0,0.0,0.0,2.9,7.5,0.386,0.383,1.1,1.6,0.67,0.0,0.0,5.8,0.5,0.0,0.0,1.0,2.5,6.8,1,0.0,0.0
1036,Dwaine Dillard,1976,1976,F,6-6,230.0,"March 9, 1949",Eastern Michigan University,/players/d/dilladw01.html,0,3.0,0.0,6.3,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.7,0.7,1.0,0.7,2.3,3.0,0.7,0.7,0.7,1.7,2.3,1.3,1,0.0,0.0
1037,Mickey Dillard,1982,1982,G,6-3,170.0,"October 15, 1958",Florida State University,/players/d/dillami01.html,0,33.0,0.0,6.7,0.9,2.4,0.367,0.0,0.1,0.0,0.9,2.3,0.387,0.367,0.5,0.7,0.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2,1,0.0,0.0
1038,Bob Dille,1947,1947,F,6-3,190.0,"July 2, 1917",Valparaiso University,/players/d/dillebo01.html,0,57.0,0.0,0.0,1.9,9.9,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.9,0.667,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.6,5.2,1,0.0,0.0
1039,Hook Dillon,1950,1950,F,6-3,180.0,"January 8, 1924",University of North Carolina,/players/d/dilloho01.html,0,22.0,0.0,0.0,0.5,2.5,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.727,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,1.6,1,0.0,0.0
1040,Byron Dinkins,1990,1991,G,6-1,170.0,"June 15, 1967",University of North Carolina at Charlotte,/players/d/dinkiby01.html,1,45.0,0.0,11.4,1.3,3.2,0.406,0.0,0.2,0.111,1.3,3.0,0.425,0.409,0.8,0.9,0.872,0.3,0.9,1.2,2.1,0.5,0.0,1.1,1.0,3.4,3,0.0,0.0
1041,Jackie Dinkins,1972,1972,F,6-5,210.0,"January 22, 1950",Voorhees College,/players/d/dinkija01.html,0,18.0,0.0,4.9,0.9,2.3,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.55,0.0,0.0,1.1,0.4,0.0,0.0,0.0,0.6,2.5,1,0.0,0.0
1042,Harry Dinnel,1968,1968,F-G,6-4,200.0,"October 9, 1940",Pepperdine University,/players/d/dinneha01.html,0,11.0,0.0,7.9,0.5,1.7,0.316,0.0,0.0,0.0,0.5,1.7,0.316,0.316,0.6,0.7,0.875,0.0,0.0,2.1,0.5,0.0,0.0,0.7,1.3,1.7,1,0.0,0.0
