,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams
1060,Ernie DiGregorio,1974,1978,G,6-0,180.0,"January 15, 1951",Providence College,/players/d/digreer01.html,4,312.0,0.0,25.2,4.1,9.8,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,0.902,0.4,1.5,2.0,5.1,0.6,0.0,1.8,2.1,9.6,3
1061,Craig Dill,1968,1968,C,6-11,215.0,"December 17, 1944",University of Michigan,/players/d/dillcr01.html,0,65.0,0.0,20.8,2.9,7.5,0.383,0.0,0.0,0.0,2.9,7.5,0.386,0.383,1.1,1.6,0.67,0.0,0.0,5.8,0.5,0.0,0.0,1.0,2.5,6.8,1
1062,Dwaine Dillard,1976,1976,F,6-6,230.0,"March 9, 1949",Eastern Michigan University,/players/d/dilladw01.html,0,3.0,0.0,6.3,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.7,0.7,1.0,0.7,2.3,3.0,0.7,0.7,0.7,1.7,2.3,1.3,1
1063,Mickey Dillard,1982,1982,G,6-3,170.0,"October 15, 1958",Florida State University,/players/d/dillami01.html,0,33.0,0.0,6.7,0.9,2.4,0.367,0.0,0.1,0.0,0.9,2.3,0.387,0.367,0.5,0.7,0.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2,1
1064,Bob Dille,1947,1947,F,6-3,190.0,"July 2, 1917",Valparaiso University,/players/d/dillebo01.html,0,57.0,0.0,0.0,1.9,9.9,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.9,0.667,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.6,5.2,1
1065,Hook Dillon,1950,1950,F,6-3,180.0,"January 8, 1924",University of North Carolina,/players/d/dilloho01.html,0,22.0,0.0,0.0,0.5,2.5,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.727,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,1.6,1
1066,Byron Dinkins,1990,1991,G,6-1,170.0,"June 15, 1967",University of North Carolina at Charlotte,/players/d/dinkiby01.html,1,45.0,0.0,11.4,1.3,3.2,0.406,0.0,0.2,0.111,1.3,3.0,0.425,0.409,0.8,0.9,0.872,0.3,0.9,1.2,2.1,0.5,0.0,1.1,1.0,3.4,3
1067,Jackie Dinkins,1972,1972,F,6-5,210.0,"January 22, 1950",Voorhees College,/players/d/dinkija01.html,0,18.0,0.0,4.9,0.9,2.3,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.55,0.0,0.0,1.1,0.4,0.0,0.0,0.0,0.6,2.5,1
1068,Harry Dinnel,1968,1968,F-G,6-4,200.0,"October 9, 1940",Pepperdine University,/players/d/dinneha01.html,0,11.0,0.0,7.9,0.5,1.7,0.316,0.0,0.0,0.0,0.5,1.7,0.316,0.316,0.6,0.7,0.875,0.0,0.0,2.1,0.5,0.0,0.0,0.7,1.3,1.7,1
1069,Bill Dinwiddie,1968,1972,F,6-7,220.0,"July 15, 1943",New Mexico Highlands University,/players/d/dinwibi01.html,4,220.0,0.0,12.5,1.8,5.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.61,0.0,0.0,3.3,0.6,0.0,0.0,0.0,1.7,4.4,3
1070,Spencer Dinwiddie,2015,2018,G,6-6,200.0,"April 6, 1993",University of Colorado,/players/d/dinwisp01.html,3,185.0,77.0,23.0,2.9,7.4,0.387,1.0,3.3,0.315,1.8,4.1,0.446,0.458,2.1,2.7,0.798,0.4,2.2,2.6,4.5,0.7,0.3,1.3,2.0,8.9,2
1071,Ike Diogu,2006,2012,F,6-8,250.0,"September 11, 1983",Arizona State University,/players/d/dioguik01.html,6,225.0,18.0,12.4,2.2,4.3,0.509,0.0,0.0,0.5,2.2,4.2,0.509,0.51,1.6,2.1,0.786,1.2,1.8,3.1,0.3,0.2,0.3,0.9,1.9,6.0,6
1072,DeSagana Diop,2002,2013,C,7-0,300.0,"January 30, 1982",0,/players/d/diopde01.html,11,601.0,93.0,14.0,0.8,2.0,0.427,0.0,0.0,0.167,0.8,1.9,0.429,0.428,0.3,0.6,0.467,1.4,2.3,3.7,0.4,0.4,1.0,0.6,2.0,2.0,4
1073,Terry Dischinger,1963,1973,F-G,6-7,189.0,"November 21, 1940",Purdue University,/players/d/dischte01.html,10,652.0,0.0,27.4,5.3,10.5,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.2,0.758,0.0,0.0,5.6,1.8,0.0,0.0,0.0,3.2,13.8,4
1074,Fred Diute,1955,1955,G,6-3,210.0,"January 9, 1929",St. Bonaventure University,/players/d/diutefr01.html,0,7.0,0.0,10.3,0.3,3.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,0.583,0.0,0.0,1.9,0.6,0.0,0.0,0.0,1.7,1.6,1
1075,Vlade Divac,1990,2005,C,7-1,243.0,"February 3, 1968",0,/players/d/divacvl01.html,15,1134.0,979.0,29.8,4.6,9.3,0.495,0.1,0.4,0.235,4.5,8.9,0.506,0.5,2.5,3.7,0.692,2.5,5.7,8.2,3.1,1.1,1.4,2.2,3.2,11.8,3
1076,Juan Dixon,2003,2009,G,6-3,164.0,"October 9, 1978",University of Maryland,/players/d/dixonju01.html,6,436.0,77.0,19.5,3.2,7.8,0.413,0.8,2.2,0.341,2.5,5.6,0.442,0.461,1.3,1.5,0.833,0.4,1.5,1.9,1.8,0.8,0.1,1.3,1.7,8.4,4
1077,Aleksandar Djordjevic,1997,1997,G,6-2,198.0,"August 26, 1967",0,/players/d/djordal01.html,0,8.0,0.0,7.6,1.0,2.0,0.5,0.6,0.9,0.714,0.4,1.1,0.333,0.656,0.5,0.6,0.8,0.1,0.5,0.6,0.6,0.0,0.0,0.6,0.4,3.1,1
1078,Earl Dodd,1950,1950,F,6-5,175.0,"November 1, 1924",Truman State University,/players/d/doddea01.html,0,9.0,0.0,0.0,0.7,3.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.4,1.7,1
1079,Michael Doleac,1999,2008,C,6-11,262.0,"June 15, 1977",University of Utah,/players/d/doleami01.html,9,587.0,84.0,15.0,2.1,4.8,0.439,0.0,0.0,0.125,2.1,4.8,0.44,0.439,0.7,0.8,0.791,1.0,2.3,3.3,0.6,0.3,0.4,0.6,2.2,4.9,6
1080,Joe Dolhon,1950,1951,G,6-0,175.0,"July 9, 1927",New York University,/players/d/dolhojo01.html,1,77.0,0.0,0.0,2.1,6.7,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.1,0.734,0.0,0.0,1.4,2.3,0.0,0.0,0.0,2.9,6.4,1
1081,Bob Doll,1947,1950,F-C,6-5,195.0,"August 10, 1919",University of Colorado,/players/d/dollbo01.html,3,196.0,0.0,0.0,3.2,11.3,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.662,0.0,0.0,0.0,1.4,0.0,0.0,0.0,2.6,8.4,2
1082,James Donaldson,1981,1995,C,7-2,275.0,"August 16, 1957",Washington State University,/players/d/donalja01.html,14,957.0,659.0,27.4,3.2,5.7,0.571,0.0,0.0,0.0,3.2,5.7,0.571,0.571,2.1,2.8,0.732,2.2,5.7,7.8,0.8,0.4,1.3,1.5,2.1,8.6,6
1083,Bob Donham,1951,1954,G-F,6-2,190.0,"October 11, 1926",Ohio State University,/players/d/donhabo01.html,3,273.0,0.0,23.7,2.4,5.1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.6,0.507,0.0,0.0,3.9,2.6,0.0,0.0,0.0,3.1,6.7,1
1084,Billy Donovan,1988,1988,G,5-11,171.0,"May 30, 1965",Providence College,/players/d/donovbi01.html,0,44.0,0.0,8.3,1.0,2.5,0.404,0.0,0.2,0.0,1.0,2.3,0.431,0.404,0.4,0.5,0.81,0.1,0.5,0.6,2.0,0.4,0.0,1.0,0.8,2.4,1
1085,Harry Donovan,1950,1950,G,6-2,180.0,"September 10, 1926",Muhlenberg College,/players/d/donovha01.html,0,45.0,0.0,0.0,2.0,6.1,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.4,0.689,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.4,5.6,1
1086,Keyon Dooling,2001,2013,G,6-3,196.0,"May 8, 1980",University of Missouri,/players/d/doolike01.html,12,728.0,86.0,19.4,2.5,6.0,0.416,0.6,1.8,0.349,1.9,4.2,0.443,0.467,1.4,1.7,0.799,0.2,1.1,1.3,2.2,0.6,0.1,1.1,1.7,7.0,7
1087,Jacky Dorsey,1978,1981,F,6-7,230.0,"December 18, 1954",University of Georgia,/players/d/dorseja01.html,3,60.0,0.0,7.5,0.9,2.4,0.389,0.0,0.0,0.0,0.9,2.4,0.389,0.389,0.5,1.0,0.544,0.8,1.6,2.4,0.3,0.2,0.1,0.5,1.5,2.4,4
1088,Joey Dorsey,2009,2015,F,6-8,268.0,"December 16, 1983",University of Memphis,/players/d/dorsejo01.html,6,130.0,26.0,11.4,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.536,0.534,0.5,1.2,0.375,1.5,2.4,3.9,0.4,0.5,0.3,0.7,2.0,2.6,3
1089,Ron Dorsey,1972,1972,F,6-4,200.0,"October 10, 1948",Tennessee State University,/players/d/dorsero01.html,0,1.0,0.0,12.0,2.0,8.0,0.25,0.0,1.0,0.0,2.0,7.0,0.286,0.25,0.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,1
1090,Tyler Dorsey,2018,2018,G,6-5,183.0,"February 14, 1996",University of Oregon,/players/d/dorsety01.html,0,56.0,5.0,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2.0,2.3,1.4,0.3,0.1,0.7,1.1,7.2,1
1091,Damyean Dotson,2018,2018,G,6-6,205.0,"May 6, 1994","University of Oregon, University of Houston",/players/d/dotsoda01.html,0,44.0,2.0,10.8,1.6,3.7,0.447,0.5,1.5,0.324,1.1,2.1,0.538,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0.0,0.4,0.8,4.1,1
1092,Quincy Douby,2007,2009,G,6-3,175.0,"May 16, 1984",Rutgers University,/players/d/doubyqu01.html,2,143.0,0.0,10.7,1.6,4.0,0.389,0.5,1.5,0.312,1.1,2.5,0.436,0.448,0.5,0.6,0.884,0.2,0.8,1.1,0.7,0.3,0.1,0.6,0.9,4.1,2
1093,Bruce Douglas,1987,1987,G,6-3,195.0,"April 9, 1964",University of Illinois at Urbana-Champaign,/players/d/douglbr01.html,0,8.0,1.0,12.3,0.9,3.0,0.292,0.0,0.1,0.0,0.9,2.9,0.304,0.292,0.0,0.5,0.0,0.6,1.1,1.8,2.1,1.1,0.0,1.1,1.1,1.8,1
1094,John Douglas,1982,1983,G,6-2,170.0,"June 12, 1956",University of Kansas,/players/d/dougljo01.html,1,67.0,10.0,15.6,2.7,5.9,0.461,0.3,0.9,0.311,2.4,5.0,0.488,0.485,1.0,1.6,0.663,0.4,1.0,1.4,2.2,0.7,0.1,1.4,2.2,6.7,1
1095,Leon Douglas,1977,1983,C-F,6-10,230.0,"August 26, 1954",University of Alabama,/players/d/douglle01.html,6,456.0,17.0,22.2,3.0,6.1,0.495,0.0,0.0,0.0,3.0,6.1,0.496,0.495,1.8,3.0,0.601,2.3,4.2,6.5,1.1,0.5,0.7,1.8,3.6,7.9,2
1096,Sherman Douglas,1990,2001,G,6-0,180.0,"September 15, 1966",Syracuse University,/players/d/douglsh01.html,11,765.0,482.0,27.6,4.4,9.0,0.484,0.2,0.8,0.267,4.2,8.2,0.504,0.495,2.1,3.1,0.678,0.7,1.5,2.2,5.9,1.0,0.1,2.3,2.1,11.0,5
1097,Toney Douglas,2010,2017,G,6-2,195.0,"March 16, 1986","Auburn University, Florida State University",/players/d/douglto01.html,7,394.0,65.0,19.1,2.8,6.9,0.404,1.1,3.2,0.354,1.6,3.7,0.448,0.486,1.0,1.2,0.824,0.5,1.7,2.2,2.3,0.9,0.1,1.0,2.0,7.6,7
1098,Chris Douglas-Roberts,2009,2015,G,6-7,200.0,"January 8, 1987",University of Memphis,/players/d/douglch01.html,6,222.0,61.0,19.7,2.6,5.9,0.439,0.4,1.1,0.329,2.2,4.7,0.465,0.471,1.5,1.8,0.831,0.4,1.8,2.1,1.1,0.6,0.2,0.9,1.3,7.1,5
1099,Sonny Dove,1968,1972,F,6-7,198.0,"August 16, 1945",St. John's University,/players/d/doveso01.html,4,222.0,0.0,22.4,4.5,9.8,0.457,0.0,0.2,0.222,4.5,9.7,0.46,0.459,2.1,3.2,0.647,3.0,4.4,6.0,1.0,0.0,0.0,2.6,3.1,11.1,2
1100,Jerry Dover,1972,1972,G,5-7,155.0,"October 16, 1949",LeMoyne-Owen College,/players/d/doverje01.html,0,4.0,0.0,3.3,0.8,2.3,0.333,0.5,1.3,0.4,0.3,1.0,0.25,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.8,2.0,1
1101,Zabian Dowdell,2011,2011,G,6-3,191.0,"September 10, 1984",Virginia Polytechnic Institute and State University,/players/d/dowdeza01.html,0,24.0,0.0,12.2,2.1,5.2,0.408,0.1,0.4,0.3,2.0,4.8,0.417,0.42,0.7,0.7,0.941,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5.0,1
1102,Bill Downey,1948,1948,C,6-6,210.0,"November 11, 1923",Marquette University,/players/d/downebi01.html,0,3.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1103,Steve Downing,1974,1975,C,6-8,225.0,"September 9, 1950",Indiana University,/players/d/downist01.html,1,27.0,0.0,5.4,0.8,2.4,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,0.55,0.5,1.0,1.5,0.4,0.2,0.0,0.0,1.2,2.4,1
1104,Danny Doyle,1963,1963,F,6-8,200.0,"February 6, 1940",Belmont Abbey College,/players/d/doyleda01.html,0,4.0,0.0,6.3,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.8,0.0,0.0,2.0,0.8,0.0,0.0,0.0,1.0,4.0,1
1105,Milton Doyle,2018,2018,G,6-4,185.0,"October 31, 1993",Loyola University of Chicago,/players/d/doylemi01.html,0,10.0,0.0,12.5,1.3,4.7,0.277,0.4,2.3,0.174,0.9,2.4,0.375,0.319,0.4,0.8,0.5,0.3,1.5,1.8,1.0,0.6,0.2,0.2,1.3,3.4,1
1106,PJ Dozier,2018,2018,G,6-7,201.0,"October 25, 1996",University of South Carolina,/players/d/doziepj01.html,0,2.0,0.0,1.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,2
1107,Terry Dozier,1990,1990,F,6-9,210.0,"June 29, 1966",University of South Carolina,/players/d/doziete01.html,0,9.0,0.0,10.2,1.0,3.0,0.333,0.0,0.1,0.0,1.0,2.9,0.346,0.333,0.4,0.9,0.5,0.8,0.9,1.7,0.3,0.7,0.2,0.8,1.1,2.4,1
1108,Goran Dragic,2009,2018,G,6-3,190.0,"May 6, 1986",0,/players/d/dragigo01.html,9,722.0,486.0,28.0,5.1,10.8,0.469,1.1,3.1,0.364,4.0,7.8,0.51,0.52,2.5,3.2,0.762,0.7,2.3,3.1,4.8,1.0,0.2,2.3,2.3,13.7,3
1109,Zoran Dragic,2015,2015,G-F,6-5,200.0,"June 22, 1989",0,/players/d/dragizo01.html,0,16.0,1.0,4.7,0.7,1.9,0.367,0.2,0.9,0.214,0.5,1.0,0.5,0.417,0.2,0.3,0.6,0.3,0.2,0.5,0.3,0.1,0.0,0.3,0.4,1.8,2
1110,Greg Dreiling,1987,1997,C,7-1,250.0,"November 7, 1962","Wichita State University, University of Kansas",/players/d/dreilgr01.html,10,474.0,94.0,8.9,0.8,1.7,0.467,0.0,0.0,0.333,0.8,1.7,0.469,0.469,0.6,0.8,0.649,0.6,1.5,2.1,0.4,0.2,0.3,0.5,1.9,2.1,3
1111,Bryce Drew,1999,2004,G,6-2,185.0,"September 21, 1974",Valparaiso University,/players/d/drewbr01.html,5,243.0,46.0,16.3,1.7,4.5,0.382,0.6,1.7,0.371,1.1,2.8,0.389,0.451,0.4,0.5,0.83,0.2,1.0,1.2,2.2,0.5,0.0,0.9,1.2,4.4,4
1112,John Drew,1975,1985,F-G,6-6,205.0,"September 30, 1954",Gardner-Webb University,/players/d/drewjo01.html,10,739.0,104.0,29.5,7.4,15.8,0.47,0.0,0.2,0.175,7.4,15.7,0.472,0.471,5.8,7.8,0.748,2.9,4.0,6.9,1.7,1.4,0.3,2.7,3.6,20.7,2
1113,Larry Drew,1981,1991,G,6-1,170.0,"April 2, 1958",University of Missouri,/players/d/drewla01.html,10,714.0,341.0,25.7,4.6,9.9,0.467,0.2,0.6,0.291,4.5,9.4,0.478,0.475,1.9,2.4,0.798,0.4,1.4,1.8,5.2,1.1,0.1,2.2,1.8,11.4,5
1121,Larry Drew,2015,2018,G,6-2,180.0,"March 5, 1990","University of North Carolina, University of California, Los Angeles",/players/d/drewla01.html,3,714.0,341.0,25.7,4.6,9.9,0.467,0.2,0.6,0.291,4.5,9.4,0.478,0.475,1.9,2.4,0.798,0.4,1.4,1.8,5.2,1.1,0.1,2.2,1.8,11.4,5
1129,Clyde Drexler*,1984,1998,G,6-7,210.0,"June 22, 1962",University of Houston,/players/d/drexlcl01.html,14,1086.0,950.0,34.6,7.7,16.3,0.472,0.8,2.4,0.318,6.9,13.9,0.498,0.495,4.3,5.5,0.788,2.4,3.7,6.1,5.6,2.0,0.7,2.7,3.0,20.4,2
1130,Nate Driggers,1997,1997,G,6-5,215.0,"October 12, 1973",University of Montevallo,/players/d/driggna01.html,0,15.0,0.0,8.8,0.9,2.9,0.302,0.0,0.6,0.0,0.9,2.3,0.382,0.302,0.7,0.9,0.714,0.8,0.7,1.5,0.4,0.2,0.1,0.4,0.7,2.4,1
1131,Terry Driscoll,1971,1975,F,6-7,215.0,"August 28, 1947",Boston College,/players/d/driscte01.html,4,274.0,0.0,13.3,1.6,3.9,0.419,0.0,0.0,0.0,1.6,3.9,0.419,0.419,0.8,1.2,0.694,1.1,1.8,4.1,0.8,0.3,0.2,0.9,2.1,4.1,4
1132,Predrag Drobnjak,2002,2005,C,6-11,270.0,"October 27, 1975",0,/players/d/drobnpr01.html,3,278.0,96.0,19.9,3.2,7.6,0.425,0.2,0.7,0.34,3.0,6.9,0.433,0.44,1.1,1.4,0.799,1.1,2.4,3.5,0.8,0.5,0.4,0.9,1.8,7.9,3
1133,Ralph Drollinger,1981,1981,C,7-2,250.0,"April 20, 1954","University of California, Los Angeles",/players/d/drollra01.html,0,6.0,0.0,11.2,1.2,2.3,0.5,0.0,0.0,0.0,1.2,2.3,0.5,0.5,0.2,0.7,0.25,0.8,2.3,3.2,2.3,0.2,0.3,2.2,2.7,2.5,1
1134,Andre Drummond,2013,2018,C,6-11,279.0,"August 10, 1993",University of Connecticut,/players/d/drumman01.html,5,463.0,413.0,30.4,5.8,10.6,0.545,0.0,0.1,0.167,5.8,10.6,0.547,0.545,2.0,4.7,0.421,4.7,8.7,13.4,1.1,1.3,1.5,1.7,3.1,13.6,1
1135,Dick Duckett,1958,1958,G,6-1,185.0,"March 25, 1933",St. John's University,/players/d/duckedi01.html,0,34.0,0.0,12.5,1.6,4.6,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.889,0.0,0.0,1.6,1.4,0.0,0.0,0.0,1.8,3.9,1
1136,Kevin Duckworth,1987,1997,C,7-0,275.0,"April 1, 1964",Eastern Illinois University,/players/d/duckwke01.html,10,684.0,527.0,25.5,4.7,10.0,0.468,0.0,0.0,0.208,4.7,10.0,0.469,0.468,2.4,3.3,0.736,2.0,3.8,5.8,0.9,0.5,0.5,1.8,3.2,11.8,5
1137,Charles Dudley,1973,1979,G,6-2,180.0,"March 5, 1950",University of Washington,/players/d/dudlech01.html,6,361.0,0.0,17.6,1.9,3.8,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.2,0.672,1.2,1.9,3.0,3.4,0.8,0.0,1.9,2.0,5.3,3
1138,Chris Dudley,1988,2003,C,6-11,235.0,"February 22, 1965",Yale University,/players/d/dudlech02.html,15,886.0,331.0,18.4,1.6,3.8,0.412,0.0,0.0,0.0,1.6,3.8,0.412,0.412,0.8,1.7,0.458,2.5,3.6,6.2,0.4,0.4,1.2,0.8,2.6,3.9,5
1139,Jared Dudley,2008,2018,F-G,6-7,225.0,"July 10, 1985",Boston College,/players/d/dudleja01.html,10,788.0,260.0,23.4,2.9,6.2,0.467,1.0,2.6,0.396,1.9,3.6,0.518,0.549,1.1,1.6,0.733,1.0,2.4,3.3,1.6,0.8,0.2,0.9,1.8,8.0,5
1140,Terry Duerod,1980,1983,G,6-2,180.0,"July 29, 1956",University of Detroit Mercy,/players/d/duerote01.html,3,143.0,0.0,13.8,3.0,6.5,0.462,0.2,0.5,0.329,2.8,6.0,0.473,0.475,0.6,0.8,0.672,0.4,0.8,1.1,1.2,0.4,0.1,0.9,1.0,6.7,4
1141,Bob Duffy,1947,1947,F,6-4,175.0,"July 5, 1922",Tulane University,/players/d/duffybo01.html,0,17.0,0.0,0.0,0.4,1.9,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,2
1149,Bob Duffy,1963,1965,G,6-3,185.0,"September 26, 1940",Colgate University,/players/d/duffybo01.html,2,17.0,0.0,0.0,0.4,1.9,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,2
1157,Chris Duhon,2005,2013,G,6-1,185.0,"August 31, 1982",Duke University,/players/d/duhonch01.html,8,606.0,319.0,25.6,2.2,5.7,0.393,1.1,3.0,0.363,1.2,2.7,0.426,0.488,1.0,1.2,0.784,0.3,1.9,2.3,4.4,0.8,0.1,1.5,1.6,6.5,4
1158,Duje Dukan,2016,2016,F,6-9,220.0,"December 4, 1991",University of Wisconsin,/players/d/dukandu01.html,0,1.0,0.0,24.0,2.0,10.0,0.2,2.0,5.0,0.4,0.0,5.0,0.0,0.3,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0,1
1159,Walter Dukes,1956,1963,C,7-0,220.0,"June 23, 1930",Seton Hall University,/players/d/dukeswa01.html,7,553.0,0.0,26.5,3.5,9.4,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,0.7,0.0,0.0,11.3,1.1,0.0,0.0,0.0,4.1,10.4,3
1160,Joe Dumars*,1986,1999,G,6-3,190.0,"May 24, 1963",McNeese State University,/players/d/dumarjo01.html,13,1018.0,944.0,34.5,5.9,12.8,0.46,1.0,2.5,0.382,4.9,10.2,0.48,0.498,3.4,4.0,0.843,0.7,1.5,2.2,4.5,0.9,0.1,2.0,1.8,16.1,1
1161,Rich Dumas,1969,1969,G,6-3,170.0,0,Northeastern State University,/players/d/dumasri01.html,0,1.0,0.0,5.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1
1162,Richard Dumas,1993,1996,F,6-7,200.0,"May 19, 1969",Oklahoma State University,/players/d/dumasri02.html,3,102.0,47.0,21.8,4.3,8.4,0.509,0.0,0.1,0.231,4.2,8.2,0.514,0.511,2.0,3.0,0.694,1.6,1.9,3.4,1.1,1.3,0.5,1.5,2.2,10.6,2
1163,Tony Dumas,1995,1998,G,6-6,190.0,"August 25, 1972",University of Missouri-Kansas City,/players/d/dumasto01.html,3,156.0,13.0,14.2,2.6,6.5,0.404,0.7,2.0,0.327,2.0,4.5,0.438,0.454,1.4,2.3,0.608,0.6,0.7,1.3,1.2,0.4,0.1,0.9,1.6,7.3,3
1164,Andy Duncan,1949,1951,F-C,6-6,195.0,"April 17, 1922",College of William & Mary,/players/d/duncaan01.html,2,136.0,0.0,0.0,2.2,5.3,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.9,0.596,0.0,0.0,2.1,0.7,0.0,0.0,0.0,2.7,5.5,2
1165,Tim Duncan,1998,2016,F-C,6-11,250.0,"April 25, 1976",Wake Forest University,/players/d/duncati01.html,18,1392.0,1389.0,34.0,7.4,14.6,0.506,0.0,0.1,0.179,7.4,14.5,0.509,0.507,4.2,6.1,0.696,2.8,8.1,10.8,3.0,0.7,2.2,2.4,2.4,19.0,1
1166,Mike Dunleavy,1977,1990,G,6-3,180.0,"March 21, 1954",University of South Carolina,/players/d/dunlemi01.html,13,438.0,55.0,19.2,3.0,6.4,0.467,0.4,1.3,0.339,2.7,5.5,0.489,0.492,1.7,2.1,0.81,0.3,1.2,1.6,3.9,0.8,0.1,1.8,2.3,8.0,4
1174,Mike Dunleavy,2003,2017,F-G,6-9,230.0,"September 15, 1980",Duke University,/players/d/dunlemi01.html,14,438.0,55.0,19.2,3.0,6.4,0.467,0.4,1.3,0.339,2.7,5.5,0.489,0.492,1.7,2.1,0.81,0.3,1.2,1.6,3.9,0.8,0.1,1.8,2.3,8.0,4
1182,Kris Dunn,2017,2018,G,6-4,210.0,"March 18, 1994",Providence College,/players/d/dunnkr01.html,1,130.0,50.0,22.0,3.1,7.5,0.413,0.5,1.6,0.309,2.6,5.9,0.44,0.445,0.9,1.3,0.69,0.4,2.6,3.0,3.8,1.4,0.5,1.8,2.7,7.6,2
1183,Pat Dunn,1958,1958,G,6-2,170.0,"March 17, 1931",Utah State University,/players/d/dunnpa01.html,0,28.0,0.0,7.4,1.0,3.2,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.824,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.7,2.5,1
1184,T.R. Dunn,1978,1991,G-F,6-4,192.0,"February 1, 1955",University of Alabama,/players/d/dunntr01.html,13,993.0,457.0,23.2,2.0,4.5,0.457,0.0,0.0,0.05,2.0,4.5,0.459,0.457,1.0,1.4,0.725,1.7,2.7,4.4,1.6,1.3,0.3,0.8,2.1,5.1,3
1185,Ronald Dupree,2004,2011,F,6-7,209.0,"January 26, 1981",Louisiana State University,/players/d/duprero01.html,7,157.0,8.0,11.2,1.4,3.2,0.427,0.0,0.1,0.385,1.4,3.2,0.429,0.432,0.7,1.3,0.559,0.7,1.4,2.2,0.6,0.4,0.2,0.6,1.6,3.5,5
1186,Kevin Durant,2008,2018,F-G,6-9,240.0,"September 29, 1988",University of Texas at Austin,/players/d/duranke01.html,10,771.0,771.0,37.1,9.2,18.8,0.49,1.9,4.8,0.384,7.3,13.9,0.527,0.539,6.9,7.8,0.882,0.8,6.4,7.1,3.9,1.2,1.1,3.1,1.9,27.1,3
